Excel Store Name,Excel City,Excel State,Match %,DB Store Name,DB City,DB Store ID,Status
"Vs - Mira Road Br","Thane","Maharashtra",59,"VS-Mira Road Br","Thane","store_000102","UNMATCHED"
"Vs - Goregaon (W) Br","Mumbai","Maharashtra",59,"VS-Goregaon (W) Br","Mumbai","store_000119","UNMATCHED"
"Vs - Goregaon (E) Br","Mumbai","Maharashtra",59,"VS-Goregaon (E) Br","Mumbai","store_000158","UNMATCHED"
"Croma -Mumbai-Pmc Lower Parel Mall- A027","Mumbai","Maharashtra",59,"Croma-Mumbai-PMC Lower Parel Mall","Mumbai","store_000622","UNMATCHED"
"Croma-Vapi-Gidc- A486","Vapi","Gujarat",59,"Croma-Vapi-GIDC","Vapi","store_000693","UNMATCHED"
"Sanjay Trading Company","Jabalpur","Madhya Pradesh",59,"RK TRADING COMPANY","Kanpur","store_001990","UNMATCHED"
"Croma - Kolkata-Salt Lake Sector 1- A633","Kolkata","West Bengal",58,"Croma-Kolkata-Salt Lake Sector 1","Kolkata","store_000248","UNMATCHED"
"K P Cool Point","Kolkata","West Bengal",58,"COOL POINT","Kolkata","store_002001","UNMATCHED"
"Lakshay Mobile & Electronics","Gurgaon","Haryana",58,"PRIYANKA MOBILE & ELECTRONICS","Patna","store_002133","UNMATCHED"
"Rahul Electro World","Jaipur","Rajasthan",58,"GANPATI ELECTRO WORLD","Amritsar","store_000749","UNMATCHED"
"Bharath Electronics","Bhubaneswar","Odisha",58,"BHARAT ELECTRONICS","Delhi","store_000864","UNMATCHED"
"Standerd Electronics","Lucknow","Uttar Pradesh",58,"STANDARD ELECTRONICS","Lucknow","store_002062","UNMATCHED"
"Agarwal Enterprises","Noida","Uttar Pradesh",58,"AGGARWAL ENTERPRISES","Jodhpur","store_001931","UNMATCHED"
"Mondal Distribution Pvt. Ltd","Kolkata","West Bengal",58,"MONDAL DISTRIBUTION","Kolkata","store_002015","UNMATCHED"
"Rohit Refrigeration Pvt Ltd","Kolkata","West Bengal",58,"ROHIT REFRIGERATION","Kolkata","store_002021","UNMATCHED"
"Shiva Enterprises","Amritsar","Punjab",57,"SHIVAM ENTERPRISES","Delhi","store_000887","UNMATCHED"
"Omm Electronics","Bhubaneswar","Odisha",57,"OM ELECTRONICS","Delhi","store_001793","UNMATCHED"
"Pal Electronics","Bhubaneswar","Odisha",57,"PAL ELECTRONIC","Ludhiana","store_002088","UNMATCHED"
"Pruthi Electricals","Ludhiana","Punjab",57,"PRUTHI ELECTRICAL","Ludhiana","store_002089","UNMATCHED"
"Sonu Electronics","Ludhiana","Punjab",57,"SONU ELECTRONIC","Ludhiana","store_002097","UNMATCHED"
"V.K. Electronics","Delhi","Delhi",57,"B.K. ELECTRONICS","Delhi","store_000930","UNMATCHED"
"Kanpur Cooling Services P Ltd","Lucknow","Uttar Pradesh",57,"KANPUR COOLING SERVICES PRIVATE LIM","Kanpur","store_001970","UNMATCHED"
"Kushal Home Appliances","Jagdalpur","Chhattisgarh",57,"Rakesh-Aaradhya Home Appliances","Delhi","store_002192","UNMATCHED"
"Goel Electronico","Chandigarh","Chandigarh",57,"GOEL ELECTRONICS","Amritsar","store_000751","UNMATCHED"
"Ambika Electronic","Surat","Gujarat",57,"AMBIKA ELECTRONICS","Delhi","store_000906","UNMATCHED"
"Singhania Traders","Ranchi","Jharkhand",57,"SINGHNIA TRADERS","Ranchi","store_002175","UNMATCHED"
"Anant Electronics","Indore","Madhya Pradesh",57,"ANAND ELECTRONICS","Delhi","store_000895","UNMATCHED"
"Mm Enterprises","Bhubaneswar","Odisha",57,"MI ENTERPRISES","Delhi","store_000897","UNMATCHED"
"C.L Electronics","Ludhiana","Punjab",57,"C.L .ELECTRONIC","Ludhiana","store_002067","UNMATCHED"
"Sk Enterprises","Jaipur","Rajasthan",57,"SS ENTERPRISES","Noida","store_000030","UNMATCHED"
"Sangita Radios","Lucknow","Uttar Pradesh",57,"SANGITA RADIO","Lucknow","store_002055","UNMATCHED"
"M.R. Enterprises","Dehradun","Uttarakhand",57,"MI ENTERPRISES","Delhi","store_000897","UNMATCHED"
"Gopal Electronics","Kolkata","West Bengal",57,"GOYAL ELECTRONICS","Delhi","store_000916","UNMATCHED"
"Madaan Electronics","Chandigarh","Chandigarh",57,"MADAN ELECTRONICS","Sonipat","store_000833","UNMATCHED"
"Super Electronic","Delhi","Delhi",57,"SUPER ELECTRONICS","Delhi","store_000881","UNMATCHED"
"Rama Electronics","Lucknow","Uttar Pradesh",57,"RAM ELECTRONICS","Meerut","store_000062","UNMATCHED"
"Vs - Andheri Br","Mumbai","Maharashtra",56,"VS-Chakala Andheri Br","Mumbai","store_000150","UNMATCHED"
"Guru Kirpa Enterprises","Ludhiana","Punjab",56,"GURU KIRPA ELECTRONIC","Ludhiana","store_002078","UNMATCHED"
"Air Care Electronics","Lucknow","Uttar Pradesh",56,"AIR CARE","Lucknow","store_000720","UNMATCHED"
"New Maha Laxmi Electronics","Noida","Uttar Pradesh",56,"LAXMI ELECTRONICS","Ghaziabad","store_000047","UNMATCHED"
"Dua Electronics","Amritsar","Punjab",55,"SUN ELECTRONICS","Kolkata","store_002029","UNMATCHED"
"Maan Enterprises","Amritsar","Punjab",55,"JAIN ENTERPRISES","Delhi","store_000847","UNMATCHED"
"Baba Electronics","Bhopal","Madhya Pradesh",55,"DABAS ELECTRONICS","Delhi","store_000888","UNMATCHED"
"Sgr Enterprises","Bangalore","Karnataka",55,"SS ENTERPRISES","Noida","store_000030","UNMATCHED"
"Star Enterprises","Delhi","Delhi",55,"SAI ENTERPRISES","Patna","store_002139","UNMATCHED"
"Lalit Electronics","Bhubaneswar","Odisha",55,"WALIA ELECTRONICS","Amritsar","store_000872","UNMATCHED"
"Sagar Electronics","Bhubaneswar","Odisha",55,"GAGAN ELECTRONICS","Jammu","store_001918","UNMATCHED"
"Bhatia Brothers","Chandigarh","Chandigarh",55,"BHASIN BROTHERS","Meerut","store_000026","UNMATCHED"
"Jmd Electronics","Chandigarh","Chandigarh",55,"MY ELECTRONICS","Amritsar","store_000763","UNMATCHED"
"Pawan Electronics","Delhi","Delhi",55,"MADAN ELECTRONICS","Sonipat","store_000833","UNMATCHED"
"Gaba Electronics & Electricals","Gurgaon","Haryana",55,"OM ELECTRONICS AND ELECTRICALS","Delhi","store_000865","UNMATCHED"
"Maya Enterprises","Jaipur","Rajasthan",55,"GABA ENTERPRISES","Ludhiana","store_002071","UNMATCHED"
"Niketa Telcom","Patna","Bihar",55,"NIKETA TELECOME","Patna","store_002130","UNMATCHED"
"Kalra Electronics","Mohali","Punjab",55,"WALIA ELECTRONICS","Amritsar","store_000872","UNMATCHED"
"Paras Electronics","Delhi","Delhi",55,"DABAS ELECTRONICS","Delhi","store_000888","UNMATCHED"
"Ajay Electronics","Lucknow","Uttar Pradesh",55,"AMAN ELECTRONICS","Delhi","store_000909","UNMATCHED"
"Shree Balaji Appliances","Ghaziabad","Uttar Pradesh",55,"SHREE BALAJI ENTERPRISES","Kanpur","store_001991","UNMATCHED"
"G.N. Electronics","Bhubaneswar","Odisha",55,"SUN ELECTRONICS","Kolkata","store_002029","UNMATCHED"
"Alka Electronics","Surat","Gujarat",55,"WALIA ELECTRONICS","Amritsar","store_000872","UNMATCHED"
"Milan Enterprises.","Mumbai","Maharashtra",55,"KIRAN ENTERPRISES","Kanpur","store_001971","UNMATCHED"
"Yash Electronics","Thane","Maharashtra",55,"HARSH ELECTRONICS","Delhi","store_000862","UNMATCHED"
"Zee Electronics","Mumbai","Maharashtra",55,"DEEP ELECTRONICS","Kanpur","store_001958","UNMATCHED"
"Tara Enterprises","Indore","Madhya Pradesh",55,"GABA ENTERPRISES","Ludhiana","store_002071","UNMATCHED"
"Kishan Enterprises","Bhubaneswar","Odisha",55,"KIRAN ENTERPRISES","Kanpur","store_001971","UNMATCHED"
"Psr Enterprises","Lucknow","Uttar Pradesh",55,"SS ENTERPRISES","Noida","store_000030","UNMATCHED"
"Sunita Electronics","Bhubaneswar","Odisha",55,"RUNGTA ELECTRONICS","Lucknow","store_002053","UNMATCHED"
"Kamal Electronics","Ludhiana","Punjab",55,"KUMAR ELECTRONICS","Delhi","store_000852","UNMATCHED"
"Avishan Traders","Lucknow","Uttar Pradesh",55,"VISHAL TRADERS","Gorakhpur","store_000748","UNMATCHED"
"Bapi Electronics","Lucknow","Uttar Pradesh",55,"GAVI ELECTRONICS","Ludhiana","store_002073","UNMATCHED"
"Av Enterprises","Ghaziabad","Uttar Pradesh",55,"AGS ENTERPRISES","Patna","store_002107","UNMATCHED"
"Garg Enterprises","Noida","Uttar Pradesh",55,"KANG ENTERPRISES","Ludhiana","store_002081","UNMATCHED"
"Aas Electronics","Delhi","Delhi",55,"RAM ELECTRONICS","Meerut","store_000062","UNMATCHED"
"Sahu Electronics","Bareilly","Uttar Pradesh",55,"SIDHU ELECTRONICS","Ludhiana","store_002096","UNMATCHED"
"Kbm Electronics","Delhi","Delhi",55,"RAM ELECTRONICS","Meerut","store_000062","UNMATCHED"
"Maa Electronics","Sambalpur","Odisha",55,"RAM ELECTRONICS","Meerut","store_000062","UNMATCHED"
"Janta Electronics","Chandigarh","Chandigarh",55,"GANGA ELECTRONICS","Hooghly","store_001076","UNMATCHED"
"M S Rr Services","Ghaziabad","Uttar Pradesh",54,"ASP - M S SHREE SERVICES","Pune","store_001354","UNMATCHED"
"Raj Electronics Link Road","Bhubaneswar","Odisha",54,"RAJ ELECTRONICS","Delhi","store_000880","UNMATCHED"
"Ideal Home Appliances","Ernakulam","Kerala",54,"Rakesh-Aaradhya Home Appliances","Delhi","store_002192","UNMATCHED"
"Pal Electronics & Mobile World","Ludhiana","Punjab",54,"ELECTRONICS WORLD","Udaipur","store_002181","UNMATCHED"
"Shri Thakur Electronics","Kanpur","Uttar Pradesh",54,"SHRI BALA JI ELECTRONICS","Kanpur","store_001992","UNMATCHED"
"Arohi Electrical & Electronics","Lucknow","Uttar Pradesh",54,"MAMATA ELECTRICAL AND ELECTRONICS","Bhubaneswar","store_001666","UNMATCHED"
"K.M Enterprise","Kolkata","West Bengal",54,"UMA ENTERPRISE","Howrah","store_001080","UNMATCHED"
"VS -Delhi(Hauz Khas)","Delhi","Delhi",53,"VS-Delhi(Hauz Khas)","Delhi","store_000113","UNMATCHED"
"VS -Ts(Jubilee Hills)","Hyderabad","Telangana",53,"VS-Ts(Jubilee Hills)","Hyderabad","store_000116","UNMATCHED"
"VS -Delhi(Mahavir Enclave)","Delhi","Delhi",53,"VS-Delhi(Mahavir Enclave)","Delhi","store_000121","UNMATCHED"
"VS -Ts(Vivekananda Nagar)","Hyderabad","Telangana",53,"VS-Ts(Vivekananda Nagar)","Hyderabad","store_000122","UNMATCHED"
"VS -Surat(Varachha) Br","Surat","Gujarat",53,"VS-Surat(Varachha) Br","Surat","store_000126","UNMATCHED"
"VS -Surat(Mota Varachha)","Surat","Gujarat",53,"VS-Surat(Mota Varachha)","Surat","store_000134","UNMATCHED"
"VS -Surat(Parvat Patiya)","Surat","Gujarat",53,"VS-Surat(Parvat Patiya)","Surat","store_000148","UNMATCHED"
"VS -Surat(Ved Road)","Surat","Gujarat",53,"VS-Surat(Ved Road)","Surat","store_000156","UNMATCHED"
"VS -Ahmedabad(Vishala) Br","Ahmedabad","Gujarat",53,"VS-Ahmedabad(Vishala) Br","Ahmedabad","store_000173","UNMATCHED"
"VS -Delhi(Roop Nagar)","Delhi","Delhi",53,"VS-Delhi(Roop Nagar)","Delhi","store_000180","UNMATCHED"
"VS -Ahmedabad(Odhav) Br","Ahmedabad","Gujarat",53,"VS-Ahmedabad(Odhav) Br","Ahmedabad","store_000195","UNMATCHED"
"VS -Ts(Paradise Circle)","Hyderabad","Telangana",53,"VS-Ts(Paradise Circle)","Hyderabad","store_000199","UNMATCHED"
"VS -Ahmedabad(R3Mall) Br","Ahmedabad","Gujarat",53,"VS-Ahmedabad(R3Mall) Br","Ahmedabad","store_000201","UNMATCHED"
"VS -Ulhasnagar Br","Thane","Maharashtra",53,"VS-Ulhasnagar Br","Thane","store_000205","UNMATCHED"
"VS -Ahmedabad(Rakhial) Br","Ahmedabad","Gujarat",53,"VS-Ahmedabad(Rakhial) Br","Ahmedabad","store_000208","UNMATCHED"
"VS -Delhi(Budh Vihar)","Delhi","Delhi",53,"VS-Delhi(Budh Vihar)","Delhi","store_000212","UNMATCHED"
"VS -Vadodara(Manjalpur) Br","Vadodara","Gujarat",53,"VS-Vadodara(Manjalpur) Br","Vadodara","store_000220","UNMATCHED"
"VS -Ap(Rajahmundry-Jln Road)","Rajahmundry","Andhra Pradesh",53,"VS-Ap(Rajahmundry-Jln Road)","Rajahmundry","store_000221","UNMATCHED"
"VS -Ts(Wrg-Pochamma Maidan)","Hyderabad","Telangana",53,"VS-Ts(Wrg-Pochamma Maidan)","Hyderabad","store_000227","UNMATCHED"
"VS -Vadodara(Kothi Road)","Vadodara","Gujarat",53,"VS-Vadodara(Kothi Road)","Vadodara","store_000231","UNMATCHED"
"Croma -Indore-Vijay Nagar Square- A186","Indore","Madhya Pradesh",53,"Croma-Indore-Vijay Nagar Square","Indore","store_000336","UNMATCHED"
"Croma -Gurugram-Mall Fifty One- A316","Gurugram","Haryana",53,"Croma-Gurugram-Mall Fifty One","Gurugram","store_000424","UNMATCHED"
"Croma - Siliguri-Dwarika Mahabir Square- A589","Siliguri","West Bengal",53,"Croma-Siliguri-Dwarika Mahabir Square","Siliguri","store_000457","UNMATCHED"
"Croma -Navi Mumbai-Seawoods Mall- A141","Mumbai","Maharashtra",53,"Croma-Navi Mumbai-Seawoods Mall","Mumbai","store_000632","UNMATCHED"
"Master Electronics","Baharaich","Uttar Pradesh",53,"MAYUR ELECTRONICS","Delhi","store_000928","UNMATCHED"
"Malik Enterprises","Jind","Haryana",53,"JAIN ENTERPRISES","Delhi","store_000847","UNMATCHED"
"Aakash Electronics","Jhajjar","Haryana",53,"HARSH ELECTRONICS","Delhi","store_000862","UNMATCHED"
"Durga Electronics","Gurugram","Haryana",53,"GUPTA ELECTRONICS","Amritsar","store_000752","UNMATCHED"
"Anand Enterprises","Bhubaneswar","Odisha",53,"AJAY ENTERPRISES","Kanpur","store_001952","UNMATCHED"
"Apsara Electronics","Bhubaneswar","Odisha",53,"ARORA ELECTRONICS","Amritsar","store_000066","UNMATCHED"
"Baiju Electronics","Darbhanga","Bihar",53,"RAJ ELECTRONICS","Delhi","store_000880","UNMATCHED"
"Geeta Enterprises","Buxar","Bihar",53,"GABA ENTERPRISES","Ludhiana","store_002071","UNMATCHED"
"VS -Pune(Dange Chowk)","Pune","Maharashtra",53,"VS-Pune(Dange Chowk)","Pune","store_001641","UNMATCHED"
"Kalinga Enterprises","Bhubaneswar","Odisha",53,"KANG ENTERPRISES","Ludhiana","store_002081","UNMATCHED"
"Padhy Electronics","Bhubaneswar","Odisha",53,"MADAN ELECTRONICS","Sonipat","store_000833","UNMATCHED"
"Patro Enterprises","Bhubaneswar","Odisha",53,"LADO ENTERPRISES","Patna","store_000949","UNMATCHED"
"Shamuka Electronics","Bhubaneswar","Odisha",53,"SHAKUN ELECTRONICS","Udaipur","store_002182","UNMATCHED"
"Paras Enterprises","Chandigarh","Chandigarh",53,"AARUSH ENTERPRISES","Delhi","store_000853","UNMATCHED"
"Aarav Enterprises","Delhi","Delhi",53,"AARUSH ENTERPRISES","Delhi","store_000853","UNMATCHED"
"Kavya Enterprises","Jaipur","Rajasthan",53,"KANG ENTERPRISES","Ludhiana","store_002081","UNMATCHED"
"Reliable Service","Jaipur","Rajasthan",53,"ASP - RELIABLE SERVICE CENTER","Ghaziabad","store_001489","UNMATCHED"
"VS -Mahavir Nagar","Mumbai","Maharashtra",53,"VS-Mahavir Nagar","Mumbai","store_002201","UNMATCHED"
"Nutan Electronics","Delhi","Delhi",53,"GUPTA ELECTRONICS","Amritsar","store_000752","UNMATCHED"
"New Sky Fairy Electronics","Indore","Madhya Pradesh",53,"NEW PAYAL ELECTRONICS","Patna","store_002128","UNMATCHED"
"Samrat Electronics","Ghaziabad","Uttar Pradesh",53,"BHARAT ELECTRONICS","Delhi","store_000864","UNMATCHED"
"Swagat Electronics","Lucknow","Uttar Pradesh",53,"BHARAT ELECTRONICS","Delhi","store_000864","UNMATCHED"
"Kataria Sales Corporation","Delhi","Delhi",53,"Kataria Sales Corp Godrej","Delhi","store_001170","UNMATCHED"
"Aliyas Electronics","Ernakulam","Kerala",53,"WALIA ELECTRONICS","Amritsar","store_000872","UNMATCHED"
"Gulzar Electronics","Delhi","Delhi",53,"GUPTA ELECTRONICS","Amritsar","store_000752","UNMATCHED"
"Ultra Electronics","Delhi","Delhi",53,"ARORA ELECTRONICS","Amritsar","store_000066","UNMATCHED"
"Kiran Electronics","Mumbai","Maharashtra",53,"RAM ELECTRONICS","Meerut","store_000062","UNMATCHED"
"Shivam Electronics","Indore","Madhya Pradesh",53,"Sangam Electronics","Delhi","store_002209","UNMATCHED"
"G.S Furniture","Ludhiana","Punjab",53,"JK Furniture","Panipat","store_002206","UNMATCHED"
"Ambey Electronics","Lucknow","Uttar Pradesh",53,"BOBBY ELECTRONICS","Amritsar","store_000723","UNMATCHED"
"Amit Sales","Lucknow","Uttar Pradesh",53,"ANKIT SALES","Ranchi","store_002149","UNMATCHED"
"Tiger Electronics","Kanpur","Uttar Pradesh",53,"FINE ELECTRONICS","Faridabad","store_000799","UNMATCHED"
"Anjani Enterprises","Noida","Uttar Pradesh",53,"AJAY ENTERPRISES","Kanpur","store_001952","UNMATCHED"
"Satyam Electronic And Electricals","Noida","Uttar Pradesh",53,"OM ELECTRONICS AND ELECTRICALS","Delhi","store_000865","UNMATCHED"
"Samiya Enterprises","Ghaziabad","Uttar Pradesh",53,"SAI ENTERPRISES","Patna","store_002139","UNMATCHED"
"Sarang Electronics","Mainpuri","Uttar Pradesh",53,"MADAN ELECTRONICS","Sonipat","store_000833","UNMATCHED"
"Shiva Electricals","Noida","Uttar Pradesh",53,"SHYAM ELECTRICALS","Ghaziabad","store_000024","UNMATCHED"
"Arati Electronics","Kolkata","West Bengal",53,"RAM ELECTRONICS","Meerut","store_000062","UNMATCHED"
"Bansal Electronics","Gurgaon","Haryana",53,"Sanjay Electronics","Delhi","store_000947","UNMATCHED"
"Ganesh Electronics","Mumbai","Maharashtra",53,"HARSH ELECTRONICS","Delhi","store_000862","UNMATCHED"
"Balaji Electronics","Bardhman","West Bengal",53,"GULATI ELECTRONICS","Delhi","store_000932","UNMATCHED"
"Astik Electronics","Mayurbhanj","Odisha",53,"AMBIKA ELECTRONICS","Delhi","store_000906","UNMATCHED"
"Atul Electronics","Dehradun","Uttarakhand",53,"MAYUR ELECTRONICS","Delhi","store_000928","UNMATCHED"
"Sahara Electronics","Mumbai","Maharashtra",53,"ARORA ELECTRONICS","Amritsar","store_000066","UNMATCHED"
"R.K. Marketing","Ghaziabad","Uttar Pradesh",53,"A.G MARKETING","Kanpur","store_001948","UNMATCHED"
"Vikas Enterprises","Gurgaon","Haryana",53,"KIRAN ENTERPRISES","Kanpur","store_001971","UNMATCHED"
"Ruchi Electronics","Lucknow","Uttar Pradesh",53,"ARCHIE ELECTRONICS","Bhubaneswar","store_000920","UNMATCHED"
"Rishab Electronics","Hyderabad","Telangana",53,"KRISHNA ELECTRONICS","Delhi","store_000919","UNMATCHED"
"VS - Haryana(New Faridabad)","Faridabad","Haryana",52,"VS-Haryana(New Faridabad)","Faridabad","store_000105","UNMATCHED"
"Vs - Ahmedabad(Maninagar) Br","Ahmedabad","Gujarat",52,"VS-Ahmedabad(Maninagar) Br","Ahmedabad","store_000107","UNMATCHED"
"Vs - Pune(Dhankawadi-Satara Rd)","Pune","Maharashtra",52,"VS-Pune(Dhankawadi-Satara Rd)","Pune","store_000149","UNMATCHED"
"Vs - Kharghar(Patel Heritage)","Thane","Maharashtra",52,"VS-Kharghar(Patel Heritage)","Thane","store_000187","UNMATCHED"
"VS -Ghatkopar Br","Mumbai","Maharashtra",52,"VS-Ghatkopar Br","Mumbai","store_000188","UNMATCHED"
"VS -Ts(Sun City)","Hyderabad","Telangana",52,"VS-Ts(Sun City)","Hyderabad","store_000203","UNMATCHED"
"VS -Ap(Ntr Circle)","Vijayawada","Andhra Pradesh",52,"VS-Ap(Ntr Circle)","Vijayawada","store_000222","UNMATCHED"
"VS -Kharghar Br","Thane","Maharashtra",52,"VS-Kharghar Br","Thane","store_000224","UNMATCHED"
"VS -Boisar Br","Mumbai","Maharashtra",52,"VS-Boisar Br","Mumbai","store_000225","UNMATCHED"
"Croma -Pune-Datta Mandir Road- A377","Pune","Maharashtra",52,"Croma-Pune-Datta Mandir Road","Pune","store_000267","UNMATCHED"
"Croma - Indore-Sapna Sangeeta Road- A409","Indore","Madhya Pradesh",52,"Croma-Indore-Sapna Sangeeta Road","Indore","store_000343","UNMATCHED"
"Croma -Delhi-Vasant Kunj Mall- A161","Delhi","Delhi",52,"Croma-Delhi-Vasant Kunj Mall","Delhi","store_000376","UNMATCHED"
"Croma -Delhi-Select City Walk- A112","Delhi","Delhi",52,"Croma-Delhi-Select City Walk","Delhi","store_000382","UNMATCHED"
"Croma -Gurugram-Dlf Mega Mall- A050","Gurugram","Haryana",52,"Croma-Gurugram-Dlf Mega Mall","Gurugram","store_000417","UNMATCHED"
"Croma -Delhi-Rohini West Mall- A131","Delhi","Delhi",52,"Croma-Delhi-Rohini West Mall","Delhi","store_000420","UNMATCHED"
"Croma -Gurugram-Reach 3 Roads- A398","Gurugram","Haryana",52,"Croma-Gurugram-Reach 3 Roads","Gurugram","store_000426","UNMATCHED"
"Croma - Asansol-Bhagat Singh More- A229","Asansol","West Bengal",52,"Croma-Asansol-Bhagat Singh More","Asansol","store_000452","UNMATCHED"
"Croma -Bangalore-Mall Of Asia- A539","Bangalore","Karnataka",52,"Croma-Bangalore-Mall of Asia","Bengaluru","store_000467","UNMATCHED"
"Jain Electronic","Jind","Haryana",52,"FINE ELECTRONIC","Gurugram","store_000797","UNMATCHED"
"Mahender Electronics","Bhiwani","Haryana",52,"MAJEED ELECTRONICS","Jammu","store_001923","UNMATCHED"
"Maxxon","Bhubaneswar","Odisha",52,"ASP - MAXXON","Bhubaneswar","store_001381","UNMATCHED"
"M S Cristal Cool","Kochi","Kerala",52,"ASP - M S creative cool","Lucknow","store_001372","UNMATCHED"
"Arihant Communication","Ghaziabad","Uttar Pradesh",52,"BASANT COMMUNICATION","Delhi","store_001776","UNMATCHED"
"M S Jyotsana Enterprises","Faridabad","Haryana",52,"ASP - M S RAGHUVANSHI ENTERPRISES","Mumbai","store_001450","UNMATCHED"
"Vs - Delhi(Rohini Sector-16)","Delhi","Delhi",52,"VS-DELHI(ROHINI Sector-16)","Delhi","store_001643","UNMATCHED"
"Modern Electronics Gallery","Bhubaneswar","Odisha",52,"M/S NATIONAL ELECTRONICS GALLERY","Kanpur","store_001975","UNMATCHED"
"R K Enterprises","Jaipur","Rajasthan",52,"ASP - D K Enterprises","Delhi","store_001330","UNMATCHED"
"Meer Enterprises","Mumbai","Maharashtra",52,"MI ENTERPRISES","Delhi","store_000897","UNMATCHED"
"Anshdeep Electronics","Bhubaneswar","Odisha",52,"DEEP ELECTRONICS","Kanpur","store_001958","UNMATCHED"
"Raj Electronics Jajpur Road","Bhubaneswar","Odisha",52,"RAJ ELECTRONICS","Delhi","store_000880","UNMATCHED"
"Malik Electronic","Delhi","Delhi",52,"MTK ELECTRONIC","Delhi","store_000885","UNMATCHED"
"Hitachi Home - Electronic Center","Chandigarh","Chandigarh",52,"ELECTRONIC CENTER","Kolkata","store_002003","UNMATCHED"
"Sunshine Electronics","Indore","Madhya Pradesh",52,"SAKSHI ELECTRONICS","Patna","store_002140","UNMATCHED"
"Nagar Communication","Delhi","Delhi",52,"BASANT COMMUNICATION","Delhi","store_001776","UNMATCHED"
"Usha Enterprises","Jamnagar","Gujarat",52,"SS ENTERPRISES","Noida","store_000030","UNMATCHED"
"Rajindra Electronics","Gurgaon","Haryana",52,"RAJA ELECTRONICS","Kanpur","store_001988","UNMATCHED"
"Aary Appliances","Thane","Maharashtra",52,"BABA APPLIANCES","Lucknow","store_002038","UNMATCHED"
"R.K. Electricals","Jaipur","Rajasthan",52,"R K ELECTRICALS","Kanpur","store_001987","UNMATCHED"
"Bala Ji Trading Company","Kanpur","Uttar Pradesh",52,"RK TRADING COMPANY","Kanpur","store_001990","UNMATCHED"
"Alankar Electronics","Lucknow","Uttar Pradesh",52,"STANDARD ELECTRONICS","Lucknow","store_002062","UNMATCHED"
"M.M. Electricals","Lucknow","Uttar Pradesh",52,"AMIT ELECTRICALS","Jodhpur","store_001933","UNMATCHED"
"Ekta Electronic","Lucknow","Uttar Pradesh",52,"MTK ELECTRONIC","Delhi","store_000885","UNMATCHED"
"Bm Electricals","Noida","Uttar Pradesh",52,"AMIT ELECTRICALS","Jodhpur","store_001933","UNMATCHED"
"Nijhawan Electronics","Ghaziabad","Uttar Pradesh",52,"MAHAJAN ELECTRONICS","Delhi","store_000944","UNMATCHED"
"M/S Gupta Furniture & Electronics","Noida","Uttar Pradesh",52,"GUPTA ELECTRONICS","Amritsar","store_000752","UNMATCHED"
"B.T. Electricals","Kolkata","West Bengal",52,"AMIT ELECTRICALS","Jodhpur","store_001933","UNMATCHED"
"Rohit Refrigeration Pvt.Ltd  Burdwan","Kolkata","West Bengal",52,"ROHIT REFRIGERATION","Kolkata","store_002021","UNMATCHED"
"Kpsk Enterprises","Delhi","Delhi",52,"SS ENTERPRISES","Noida","store_000030","UNMATCHED"
"Rakesh Electronices","Delhi","Delhi",52,"Rakesh Electronics-M2K","Delhi","store_002191","UNMATCHED"
"Croma -Noida-Mall Of India- A151","Noida","Uttar Pradesh",51,"Croma-Noida-Mall of India","Noida","store_000016","UNMATCHED"
"Bharat Electricals","Meerut","Uttar Pradesh",51,"SHYAM ELECTRICALS","Ghaziabad","store_000024","UNMATCHED"
"Vs - Pune(Bhosari) Br","Pune","Maharashtra",51,"VS-Pune(Bhosari) Br","Pune","store_000082","UNMATCHED"
"Vs - Haryana(Faridabad) Br","Faridabad","Haryana",51,"VS-Haryana(Faridabad) Br","Faridabad","store_000087","UNMATCHED"
"Vs - Pune(Kothrud) Br","Pune","Maharashtra",51,"VS-Pune(Kothrud) Br","Pune","store_000091","UNMATCHED"
"Vs - Pune(Chinchwad) Br","Pune","Maharashtra",51,"VS-Pune(Chinchwad) Br","Pune","store_000093","UNMATCHED"
"Vs - Delhi(Janakpuri) Br","Delhi","Delhi",51,"VS-Delhi(Janakpuri) Br","Delhi","store_000104","UNMATCHED"
"VS - Delhi(Krishna Nagar)","Delhi","Delhi",51,"VS-DELHI(KRISHNA NAGAR)","Delhi","store_000108","UNMATCHED"
"Vs - Pune(Rahatni) Br","Pune","Maharashtra",51,"VS-Pune(Rahatni) Br","Pune","store_000114","UNMATCHED"
"Vs - Surat(Vip Road-Vesu)","Surat","Gujarat",51,"VS-Surat(Vip Road-Vesu)","Surat","store_000115","UNMATCHED"
"Vs - Delhi(Shahdara) Br","Delhi","Delhi",51,"VS-Delhi(Shahdara) Br","Delhi","store_000120","UNMATCHED"
"Vs - Haryana(Jacobpura) Br","Gurugram","Haryana",51,"VS-Haryana(Jacobpura) Br","Gurugram","store_000123","UNMATCHED"
"Vs - Delhi(Paschim Vihar)","Delhi","Delhi",51,"VS-Delhi(Paschim Vihar)","Delhi","store_000125","UNMATCHED"
"Vs - Delhi(Lajpatnagar) Br","Delhi","Delhi",51,"VS-Delhi(Lajpatnagar) Br","Delhi","store_000130","UNMATCHED"
"Vs - Delhi(Dwarka) Br","Delhi","Delhi",51,"VS-Delhi(Dwarka) Br","Delhi","store_000140","UNMATCHED"
