ID,StoreName,City,Latitude,Longitude,GoogleMapsLink
store_002520,"Hotspot- DELHI - MAYURVUHAR II","New Delhi",28.6195821,77.3009692,https://www.google.com/maps?q=28.6195821,77.3009692
store_002539,"Hotspot- HARYANA-PANCHKULA SEC-11","Panchkula",30.6864377,76.8490877,https://www.google.com/maps?q=30.6864377,76.8490877
store_002542,"Hotspot- HARYANA - SONIPAT","Sonipat",28.9935817,77.02064109999999,https://www.google.com/maps?q=28.9935817,77.02064109999999
store_002538,"Hotspot- GURUGRAM-GALLERIA MARKET","Gurgaon",28.4674724,77.08221429999999,https://www.google.com/maps?q=28.4674724,77.08221429999999
store_002537,"Hotspot- DELHI- NEW ASHOK VIHAR","New Delhi",28.6932504,77.1732045,https://www.google.com/maps?q=28.6932504,77.1732045
store_002540,"Hotspot- HARYANA-KALKA","Panchkula",30.6711879,76.85551989999999,https://www.google.com/maps?q=30.6711879,76.85551989999999
store_002522,"Hotspot- DELHI - SARITA VIHAR","New Delhi",28.533735,77.299787,https://www.google.com/maps?q=28.533735,77.299787
store_002544,"Hotspot- HARYANA-YAMUNA NAGAR","Yamuna Nagar",28.7031832,77.26433910000002,https://www.google.com/maps?q=28.7031832,77.26433910000002
store_002523,"Hotspot- DELHI - HOTSPOT UTTAM NAGAR","New Delhi",28.624648,77.06444359999999,https://www.google.com/maps?q=28.624648,77.06444359999999
store_002541,"Hotspot- HARYANA - PANCHKULA II","Panchkula",30.6711879,76.85551989999999,https://www.google.com/maps?q=30.6711879,76.85551989999999
store_002524,"Hotspot- DELHI - NEHRU PLACE","New Delhi",28.5490526,77.2516061,https://www.google.com/maps?q=28.5490526,77.2516061
store_002543,"Hotspot- HARYANA - JULANA","Julana",29.122586,76.4018,https://www.google.com/maps?q=29.122586,76.4018
store_002527,"Hotspot- DELHI - JANKPURI II","New Delhi",28.6296429,77.08175059999999,https://www.google.com/maps?q=28.6296429,77.08175059999999
store_002545,"Hotspot- GURGAON - NEW SAHARA MALL","Gurgaon",28.4797447,77.0865879,https://www.google.com/maps?q=28.4797447,77.0865879
store_002528,"Hotspot- DELHI-NEW CONNAUGHT PLACE-II","New Delhi",28.6304203,77.21772159999999,https://www.google.com/maps?q=28.6304203,77.21772159999999
store_002546,"Hotspot- HARYANA - AMBALA","Ambala",30.3396779,76.84128299999999,https://www.google.com/maps?q=30.3396779,76.84128299999999
store_002525,"Hotspot- DELHI - PEHLADPUR","New Delhi",28.5013996,77.29109919999999,https://www.google.com/maps?q=28.5013996,77.29109919999999
store_002549,"Hotspot- MOHALI-SEC 60 SAS NAGAR","Mohali",30.7302882,76.72054519999999,https://www.google.com/maps?q=30.7302882,76.72054519999999
store_002526,"Hotspot- DELHI_JANAKPURI_1","New Delhi",28.5423564,77.2536271,https://www.google.com/maps?q=28.5423564,77.2536271
store_002547,"Hotspot- MP-LASHKAR-GWALIOR","Gwalior",26.2061475,78.19059469999999,https://www.google.com/maps?q=26.2061475,78.19059469999999
store_002529,"Hotspot- DELHI - DEVLI EXTN","New Delhi",28.5423564,77.2536271,https://www.google.com/maps?q=28.5423564,77.2536271
store_002548,"Hotspot- AURANGABAD-KRANTI CHOWK","Aurangabad",19.8738791,75.328845,https://www.google.com/maps?q=19.8738791,75.328845
store_002530,"Hotspot- DELHI - NEW PASCHIM VIHAR","New Delhi",28.6742456,77.1183559,https://www.google.com/maps?q=28.6742456,77.1183559
store_002550,"Hotspot- MOHALI-SEC 55 SAS NAGAR","Mohali",30.7302882,76.72054519999999,https://www.google.com/maps?q=30.7302882,76.72054519999999
store_002531,"Hotspot- DELHI - NEW ROHINI SECTOR - 16","New Delhi",28.7413615,77.12061120000001,https://www.google.com/maps?q=28.7413615,77.12061120000001
store_002580,"Hotspot- RAJASTHAN -JODHPUR","Jodhpur",26.286627,72.99209909999999,https://www.google.com/maps?q=26.286627,72.99209909999999
store_002556,"Hotspot- PUNJAB - MOHALI KHARAR","Mohali",30.74355139999999,76.643892,https://www.google.com/maps?q=30.74355139999999,76.643892
store_002555,"Hotspot- PUNJAB - FARIDKOT","Faridkot",28.572176,77.3240682,https://www.google.com/maps?q=28.572176,77.3240682
store_002557,"Hotspot- PANJAB - MUKTSAR MALOUT","Mukstar",30.1895237,74.4982567,https://www.google.com/maps?q=30.1895237,74.4982567
store_002553,"Hotspot- PUNJAB - MUKTSAR","Mukstar",30.4779138,74.5145464,https://www.google.com/maps?q=30.4779138,74.5145464
store_002552,"Hotspot- PUNJAB-PATIALA","Patiala",30.3367359,76.3833088,https://www.google.com/maps?q=30.3367359,76.3833088
store_002551,"Hotspot- PUNJAB-SARABHA NAGAR","Ludhiana",30.8933446,75.8231699,https://www.google.com/maps?q=30.8933446,75.8231699
store_002578,"Hotspot- RAJASTHAN - JAIPUR MALVIYA NAGAR","Jaipur",28.5321846,77.21041009999999,https://www.google.com/maps?q=28.5321846,77.21041009999999
store_002579,"Hotspot- RAJASTHAN- AJMER STATION ROAD","Ajmer",26.453272,74.637421,https://www.google.com/maps?q=26.453272,74.637421
store_002592,"Hotspot- CHINSURA","Hooghly",22.889185,88.39715059999999,https://www.google.com/maps?q=22.889185,88.39715059999999
store_002554,"Hotspot- PUNJAB - GURDASPUR ROAD","Pathankot",32.273556,75.6396038,https://www.google.com/maps?q=32.273556,75.6396038
store_002582,"Hotspot- RAJASTHAN-VKI","Jaipur",26.8956554,75.8301089,https://www.google.com/maps?q=26.8956554,75.8301089
store_002560,"Hotspot- PUNJAB-FEROZEPUR","Ferozepur",30.88071679999999,75.7922332,https://www.google.com/maps?q=30.88071679999999,75.7922332
store_002581,"Hotspot- RAJASTHAN - UDAIPUR","Udaipur",24.5768046,73.6980315,https://www.google.com/maps?q=24.5768046,73.6980315
store_002559,"Hotspot- PUNJAB - CHANDNI CHOWK PATIALA","Patiala",30.3258676,76.397109,https://www.google.com/maps?q=30.3258676,76.397109
store_002593,"Hotspot- KHARDAH","Kolkata",22.7241769,88.37816649999999,https://www.google.com/maps?q=22.7241769,88.37816649999999
store_002583,"Hotspot- RAJ NAGAR","Ghaziabad",28.6749143,77.4429791,https://www.google.com/maps?q=28.6749143,77.4429791
store_002594,"Hotspot- BEHALA","Kolkata",22.5060367,88.31977169999999,https://www.google.com/maps?q=22.5060367,88.31977169999999
store_002561,"Hotspot- PUNJAB - MOHALI PHASE-7","Mohali",30.706458,76.72523799999999,https://www.google.com/maps?q=30.706458,76.72523799999999
store_002558,"Hotspot- PUNJAB - LUDHIANA GOBIND NAGAR","Ludhiana",30.8933446,75.8231699,https://www.google.com/maps?q=30.8933446,75.8231699
store_002564,"Hotspot- PUNJAB - LUDHIANA MODEL TOWN","Ludhiana",30.8933446,75.8231699,https://www.google.com/maps?q=30.8933446,75.8231699
store_002563,"Hotspot- PUNJAB - LUDHIANA KASHMIR","Ludhiana",30.8933446,75.8231699,https://www.google.com/maps?q=30.8933446,75.8231699
store_002596,"Hotspot- KOLKATA SRIRAMPUR","Hooghly",22.889185,88.39715059999999,https://www.google.com/maps?q=22.889185,88.39715059999999
store_002597,"Hotspot- KOLKATA-BARRACKPORE","Kolkata",22.7621415,88.3653205,https://www.google.com/maps?q=22.7621415,88.3653205
