Store ID,Store Name,City,State,Store Channel,Full Address,Latitude,Longitude
store_007981,"Gopal Jee Electricals","Noida","Uttar Pradesh","Retail","",null,null
store_008113,"Supra Power Systems","Bhubaneswar","Odisha","Retail","",null,null
store_008164,"Somesh Trading","Bhubaneswar","Odisha","Retail","",null,null
store_003539,"Aparajita Infotech","Jaipur","Rajasthan","Retail","",null,null
