Store ID,Store Name,City,Latitude,Longitude,Google Maps Link
store_003365,Viva Electronics (Retail),Delhi,28.6299809,77.2761728,"https://www.google.com/maps?q=28.6299809,77.2761728"
store_003352,R.R.Air Conditioning & Electronics (Retail),Delhi,28.6651931,77.29561629999999,"https://www.google.com/maps?q=28.6651931,77.29561629999999"
store_003356,Sai Enterprises (Retail),Delhi,28.5354626,77.2807938,"https://www.google.com/maps?q=28.5354626,77.2807938"
store_003354,Raj Kumar Electronics (India) (Retail),Delhi,28.7166747,77.26484099999999,"https://www.google.com/maps?q=28.7166747,77.26484099999999"
store_003360,Shree Kailash Electronics (Retail),Delhi,28.7209255,77.2464282,"https://www.google.com/maps?q=28.7209255,77.2464282"
store_003353,Rahul Electronics (Retail),Delhi,28.701297,77.0825843,"https://www.google.com/maps?q=28.701297,77.0825843"
store_003368,Yash Enterprises (Retail),Delhi,28.6509247,77.22482629999999,"https://www.google.com/maps?q=28.6509247,77.22482629999999"
store_003359,Sharma Electronics (Khichripur) (Retail),Delhi,28.6177876,77.3182546,"https://www.google.com/maps?q=28.6177876,77.3182546"
store_003364,Vinayak Enetreprises (Retail),Delhi,28.6413422,77.1302628,"https://www.google.com/maps?q=28.6413422,77.1302628"
store_003361,Shri Balaji Electronics (Krishna Nagar) (Retail),Delhi,28.6588465,77.2837667,"https://www.google.com/maps?q=28.6588465,77.2837667"
store_003369,MAA PEETAMBRA ENTERPRISES (Retail),Kanpur,26.4167823,80.3200536,"https://www.google.com/maps?q=26.4167823,80.3200536"
store_003371,PY Electronics (Retail),Kanpur,26.4720883,80.32989320000001,"https://www.google.com/maps?q=26.4720883,80.32989320000001"
store_003373,Mars Enterprises (Retail),Kanpur,26.4105532,80.36843590000001,"https://www.google.com/maps?q=26.4105532,80.36843590000001"
store_003379,Air Cool (ASP),Haryana,28.3605628,77.0649531,"https://www.google.com/maps?q=28.3605628,77.0649531"
store_003380,AERO WINGS (ASP),Tamil Nadu,8.8676853,77.5097358,"https://www.google.com/maps?q=8.8676853,77.5097358"
store_003381,VK REFRIGERATION (ASP),UP West,29.0345504,77.67916509999999,"https://www.google.com/maps?q=29.0345504,77.67916509999999"
store_003387,MS Fine Electronics (Retail),Haryana,28.1452035,77.3316172,"https://www.google.com/maps?q=28.1452035,77.3316172"
store_003382,Mishra Refrigeration Engineers Pvt Ltd (Retail),UP West,28.539582,77.3671197,"https://www.google.com/maps?q=28.539582,77.3671197"
store_003386,SUPERIOR SERVICE (ASP),Delhi,28.6302455,77.2724507,"https://www.google.com/maps?q=28.6302455,77.2724507"
store_003385,Pragya Metro Electronics (Retail),Delhi,28.6886554,77.2921449,"https://www.google.com/maps?q=28.6886554,77.2921449"
store_003383,SEVEN STAR AIRCONDITION (ASP),Tamil Nadu,13.0483243,80.23191849999999,"https://www.google.com/maps?q=13.0483243,80.23191849999999"
store_003390,BLUE WEATHER SOLUTIONS (ASP),Haryana,28.6284723,77.1366972,"https://www.google.com/maps?q=28.6284723,77.1366972"
store_003391,AIR TREAT (ASP),Tamil Nadu,12.9872362,80.2530756,"https://www.google.com/maps?q=12.9872362,80.2530756"
store_003397,MAYANK SERVICES (ASP),Delhi,28.6213092,77.0595312,"https://www.google.com/maps?q=28.6213092,77.0595312"
store_003394,NEW ERA AIRCON (ASP),UP West,28.546131,77.3831968,"https://www.google.com/maps?q=28.546131,77.3831968"
store_003395,Mahi traders (ASP),Haryana,28.5117094,77.0217333,"https://www.google.com/maps?q=28.5117094,77.0217333"
store_003398,COMFORT SERVICE (ASP),Maharashtra,19.1909052,73.0226569,"https://www.google.com/maps?q=19.1909052,73.0226569"
store_003396,RS ENTERPRISES (ASP),Delhi,28.6336114,77.2804617,"https://www.google.com/maps?q=28.6336114,77.2804617"
store_003399,TYAGI CLIMATE CONTROL (ASP),UP West,28.64179,77.2766962,"https://www.google.com/maps?q=28.64179,77.2766962"
store_003400,BABYLON SALES SERVICE (ASP),Delhi,28.6467704,77.2889079,"https://www.google.com/maps?q=28.6467704,77.2889079"
store_003377,AR MAGIC COOL (ASP),UP West,28.6285902,77.3775749,"https://www.google.com/maps?q=28.6285902,77.3775749"
store_003376,GRACE ELECTRONICS (ASP),Delhi,28.5253142,77.23385549999999,"https://www.google.com/maps?q=28.5253142,77.23385549999999"
store_003375,BALVIK CONSUMER SOLUTION (ASP),Tamil Nadu,13.1369117,80.2064101,"https://www.google.com/maps?q=13.1369117,80.2064101"
store_003410,SURABHI COOL AIR (ASP),UP West,28.6405724,77.271525,"https://www.google.com/maps?q=28.6405724,77.271525"
store_003406,PRAKASH REFRIGERATION ELECTRICAL (ASP),Delhi,28.6351009,77.101702,"https://www.google.com/maps?q=28.6351009,77.101702"
store_003409,OM SERVICES SALES (Retail),Haryana,28.3471388,77.3389406,"https://www.google.com/maps?q=28.3471388,77.3389406"
store_003408,SS ENTERPRISES (ASP),Tamil Nadu,13.0965692,80.2778842,"https://www.google.com/maps?q=13.0965692,80.2778842"
store_003402,CINNY COOL AIR CONDITIONING (ASP),Delhi,28.6698384,77.1522045,"https://www.google.com/maps?q=28.6698384,77.1522045"
store_003435,AIR COOL SYSTEMS (ASP),UP West,28.5946966,77.346074,"https://www.google.com/maps?q=28.5946966,77.346074"
store_003411,ELITE ENTERPRISES (ASP),Tamil Nadu,10.80373,78.68802389999999,"https://www.google.com/maps?q=10.80373,78.68802389999999"
store_003415,KANPUR COOLING SERVICES P LTD (Retail),UP East,26.4472178,80.31133390000001,"https://www.google.com/maps?q=26.4472178,80.31133390000001"
store_003417,Hitachi -VS AIRCON (ASP),Maharashtra,28.5891913,77.30163329999999,"https://www.google.com/maps?q=28.5891913,77.30163329999999"
store_003448,EUNIKE COOLING SOLUTIONS PVT LTD (ASP),Karnataka,13.0187786,77.6327128,"https://www.google.com/maps?q=13.0187786,77.6327128"
store_003419,DAKSH AIRCONDITIONER INDIA (Retail),Delhi,28.6082604,77.30299509999999,"https://www.google.com/maps?q=28.6082604,77.30299509999999"
store_003450,DMP COOL TECH (ASP),Tamil Nadu,17.297835,78.5047532,"https://www.google.com/maps?q=17.297835,78.5047532"
store_003437,MS STANDARD AIRCON (ASP),UP West,28.5820461,77.2510801,"https://www.google.com/maps?q=28.5820461,77.2510801"
store_003431,SHEZA ELECTRO WORLD PRIVATE LIMITED (ASP),Delhi,28.7171996,77.2036948,"https://www.google.com/maps?q=28.7171996,77.2036948"
store_003426,CRYSTAL AIR COOL (ASP),Maharashtra,19.3872041,72.8289254,"https://www.google.com/maps?q=19.3872041,72.8289254"
store_003432,NUTAN ELECTRONICS (Retail),Delhi,28.6809207,77.3204548,"https://www.google.com/maps?q=28.6809207,77.3204548"
store_003429,SRI AIR CONDITIONER (ASP),Tamil Nadu,11.3150824,77.7531667,"https://www.google.com/maps?q=11.3150824,77.7531667"
